direction,train_no,destination_station,service,start_station,start_time,transfer_station,transfer_time,arrival_station,arrival_time,seat
順行,自強102,往:七堵,每日行駛。,3390-員林,05:27,,,,,
順行,區間2120,往:北湖,每日行駛。,3390-員林,05:34,,,,,
順行,自強(3000)472,往:臺東,每日行駛。本列次不發售無座票，非持本班次車票旅客，請勿搭乘。 第6節為騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,06:03,,,,,▲ reserved
順行,區間2124,往:北湖,每日行駛。,3390-員林,06:07,,,,,
順行,區間2128,往:銅鑼,每日行駛。,3390-員林,06:26,,,,,
順行,區間2134,往:基隆,每日行駛。,3390-員林,06:42,,,,,
順行,自強170,往:花蓮,每日行駛。,3390-員林,06:51,,,,,
順行,區間快2702,往:彰化,每日行駛。※配合集集線隧道及邊坡改善工程施工，本公司集集站至車埕站間路線停駛，改以公路客運接駁。,3390-員林,06:58,,,,,
順行,區間2138,往:三義,每日行駛。,3390-員林,07:09,,,,,
順行,自強(3000)280,往:花蓮,每日行駛。本列次不發售無座票，非持本班次車票旅客，請勿搭乘。 第6節為騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,07:22,,,,,▲ reserved
順行,區間快2004,往:臺中,每日行駛。,3390-員林,07:38,,,,,
順行,區間2518,往:新竹,每日行駛。,3390-員林,07:49,,,2200-大甲,08:48,
順行,區間2144,往:北湖,每日行駛。,3390-員林,07:55,,,,,
順行,自強108,往:七堵,每日行駛。,3390-員林,08:19,,,,,
順行,區間3118,往:后里,每日行駛。,3390-員林,08:37,,,,,
順行,自強112,往:基隆,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,08:58,,,2200-大甲,09:45,
順行,區間2154,往:基隆,每日行駛。,3390-員林,09:01,,,,,
順行,區間3128,往:后里,每日行駛。,3390-員林,09:27,,,,,
順行,區間3132,往:北湖,每日行駛。,3390-員林,09:50,,,,,
順行,區間快1006,往:七堵,每日行駛。,3390-員林,10:02,,,2200-大甲,10:50,
順行,自強114,往:七堵,每日行駛。,3390-員林,10:16,,,,,
順行,區間3138,往:后里,每日行駛。,3390-員林,10:34,,,,,
順行,區間2174,往:瑞芳,每日行駛。,3390-員林,10:58,,,,,
順行,莒光510,往:七堵,每日行駛。,3390-員林,11:07,,,2200-大甲,11:59,
順行,自強(3000)116,往:七堵,每日行駛。本班次第9~11節車廂為自由座車廂，非持本班次車票旅客，請勿搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,11:21,,,,,▲ reserved
順行,區間3148,往:后里,逢週六停駛。,3390-員林,11:30,,,,,
順行,區間快2016,往:臺中,每日行駛。,3390-員林,11:48,,,,,
順行,區間2184,往:北湖,每日行駛。,3390-員林,11:54,,,,,
順行,自強118,往:七堵,每日行駛。,3390-員林,12:16,,,,,
順行,區間3158,往:后里,每日行駛。,3390-員林,12:23,,,,,
順行,自強(3000)120,往:七堵,每日行駛。本班次第6節為騰雲座艙、9-11節車廂為自由座車廂，非持本班次車票旅客，請勿搭乘。 第6節騰雲座艙，為本公司公告指定不發售無座位車票之車廂，持當日當次騰雲座艙車票旅客始可搭乘。 持電子票證、定期票及非本次車票請勿搭乘,3390-員林,12:33,,,2200-大甲,13:16,▲ reserved
順行,區間2194,往:基隆,每日行駛。,3390-員林,12:53,,,,,
順行,自強172,往:花蓮,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,13:16,,,,,
順行,區間3168,往:后里,每日行駛。,3390-員林,13:22,,,,,
順行,莒光516,往:七堵,每日行駛。,3390-員林,13:51,,,2200-大甲,14:45,
順行,區間2204,往:北湖,每日行駛。,3390-員林,13:54,,,,,
順行,自強122,往:基隆,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,14:14,,,,,
順行,區間3178,往:后里,每日行駛。,3390-員林,14:39,,,,,
順行,區間2214,往:基隆,每日行駛。,3390-員林,14:48,,,,,
順行,自強176,往:瑞芳,每日行駛。,3390-員林,14:58,,,,,
順行,區間快3010,往:豐原,每日行駛。,3390-員林,15:11,,,,,
順行,區間3188,往:后里,每日行駛。,3390-員林,15:24,,,,,
順行,自強128,往:基隆,每日行駛。,3390-員林,15:36,,,,,
順行,區間2224,往:北湖,每日行駛。,3390-員林,15:43,,,,,
順行,區間3198,往:后里,每日行駛。,3390-員林,16:21,,,,,
順行,區間2234,往:基隆,每日行駛。,3390-員林,16:38,,,,,
順行,自強134,往:基隆,每日行駛。,3390-員林,16:46,,,,,
順行,莒光554,往:花蓮,每日行駛。在和平跨日。,3390-員林,17:06,,,2200-大甲,18:03,
順行,區間快2042,往:七堵,逢週六、日及例假日停駛。,3390-員林,17:20,,,,,
順行,區間3208,往:后里,每日行駛。,3390-員林,17:27,,,,,
順行,自強138,往:七堵,每日行駛。本班次第12車為親子車廂，不發售無座票，非持親子車廂車票旅客，或不符合親子、孕婦身分旅客請勿進入搭乘。乘車時須配合證件正本(如媽媽手冊、可證明孩童年紀等證件)查驗。,3390-員林,17:41,,,,,
順行,區間2244,往:北湖,每日行駛。,3390-員林,17:55,,,,,
順行,區間快1038,往:七堵,每日行駛。,3390-員林,18:04,,,2200-大甲,18:57,
順行,自強142,往:七堵,每日行駛。,3390-員林,18:24,,,,,
順行,區間3218,往:后里,每日行駛。,3390-員林,18:31,,,,,
